Cod_UDH,Local,Municipio,Ano,Morte5
1352440200011,Rio Comprido,Jacareí (SP),2000,30.05
1352440200011,Rio Comprido,Jacareí (SP),2010,21.31
1352440200012,Jardim Santa Paula,Jacareí (SP),2000,
1352440200012,Jardim Santa Paula,Jacareí (SP),2010,15.74
1352440200013,Parque Imperial / Veraneio Ijal,Jacareí (SP),2000,29.79
1352440200013,Parque Imperial / Veraneio Ijal,Jacareí (SP),2010,26.35
1352440200014,Bandeira Branca,Jacareí (SP),2000,29.79
1352440200014,Bandeira Branca,Jacareí (SP),2010,26.35
1352440200015,Estância Porto Velho / Jardim Panorama,Jacareí (SP),2000,30.05
1352440200015,Estância Porto Velho / Jardim Panorama,Jacareí (SP),2010,21.31
1352440200016,Jardim Yolanda,Jacareí (SP),2000,29.79
1352440200016,Jardim Yolanda,Jacareí (SP),2010,26.35
1352440200017,Jardim do Marquês / Cidade Salvador : Aterro Municipal,Jacareí (SP),2000,30.05
1352440200017,Jardim do Marquês / Cidade Salvador : Aterro Municipal,Jacareí (SP),2010,21.31
1352440200018,Comunidade Mississipi,Jacareí (SP),2000,29.79
1352440200018,Comunidade Mississipi,Jacareí (SP),2010,26.35
1352440200019,Zona Rural / Veraneio Irajá,Jacareí (SP),2000,30.05
1352440200019,Zona Rural / Veraneio Irajá,Jacareí (SP),2010,21.31
1352440200020,Bandeira Branca / Jardim São Luiz / Esperança / Nova Jacareí,Jacareí (SP),2000,24.64
1352440200020,Bandeira Branca / Jardim São Luiz / Esperança / Nova Jacareí,Jacareí (SP),2010,15.09
1352440200021,Panorama / Jardim do Vale / Campo Grande / Jardim Maria Amélia,Jacareí (SP),2000,20.27
1352440200021,Panorama / Jardim do Vale / Campo Grande / Jardim Maria Amélia,Jacareí (SP),2010,17.48
1352440200022,Cidade Jardim  / Balneário Paraíba,Jacareí (SP),2000,17.5
1352440200022,Cidade Jardim  / Balneário Paraíba,Jacareí (SP),2010,11.7
1352440200023,Cidade Salvador / Parque dos Príncipes / Jardim Santa Marina : Cebrace,Jacareí (SP),2000,22.46
1352440200023,Cidade Salvador / Parque dos Príncipes / Jardim Santa Marina : Cebrace,Jacareí (SP),2010,19.25
1352440200024,Jardim Luiza / Parque Califórnia,Jacareí (SP),2000,17.5
1352440200024,Jardim Luiza / Parque Califórnia,Jacareí (SP),2010,11.7
1352440200025,Jardim Paraíso / Novo Amanhecer / Santo Antônio da Boa Vista / Jardim Colonia,Jacareí (SP),2000,28.15
1352440200025,Jardim Paraíso / Novo Amanhecer / Santo Antônio da Boa Vista / Jardim Colonia,Jacareí (SP),2010,17.78
1352440200026,Vila Nova Aliança / Vila Formosa / Parque Santo Antônio,Jacareí (SP),2000,18.52
1352440200026,Vila Nova Aliança / Vila Formosa / Parque Santo Antônio,Jacareí (SP),2010,12.8
1352440200027,Centro / Parque Santo Antônio : Parque da Cidade / Pátio dos Trilhos,Jacareí (SP),2000,17.5
1352440200027,Centro / Parque Santo Antônio : Parque da Cidade / Pátio dos Trilhos,Jacareí (SP),2010,11.7
1352440200028,Avareí / Parque Brasil / Jardim Santa Maria / Parque Nova América / Centro : Cemitério do Avareí,Jacareí (SP),2000,15.42
1352440200028,Avareí / Parque Brasil / Jardim Santa Maria / Parque Nova América / Centro : Cemitério do Avareí,Jacareí (SP),2010,11.8
1352440200029,Jardim Primavera / Jardim das Indústrias : Cecap,Jacareí (SP),2000,22.46
1352440200029,Jardim Primavera / Jardim das Indústrias : Cecap,Jacareí (SP),2010,15.74
1352440200030,Cecap,Jacareí (SP),2000,30.05
1352440200030,Cecap,Jacareí (SP),2010,21.31
1352440200031,Jardim Jacinto / Vila Machado / Terras da Conceição / Jardim Paraíba : Lavalpa,Jacareí (SP),2000,17.5
1352440200031,Jardim Jacinto / Vila Machado / Terras da Conceição / Jardim Paraíba : Lavalpa,Jacareí (SP),2010,11.7
1352440200032,Parque dos Sinos / Parque Meia Lua,Jacareí (SP),2000,25.97
1352440200032,Parque dos Sinos / Parque Meia Lua,Jacareí (SP),2010,19.44
1352440200033,São João / Jardim Emília : Heineken,Jacareí (SP),2000,25.48
1352440200033,São João / Jardim Emília : Heineken,Jacareí (SP),2010,15.74
